id,AGE,SEX,CONINC,CONRINC,location
1,25,2,31618,31618,us
2,43,1,160197,80261,us
3,30,2,36482,36482,us
4,55,2,160197,53507,tw
5,37,1,43779,43779,tw
6,47,1,97286,43779,tw
7,57,2,160197,,us
8,71,2,36482,,us
9,46,1,65668,65668,us
10,19,2,53507,486,tw
11,52,1,80261,53507,tw
12,48,1,160197,235707,tw
13,49,1,97286,97286,us
14,71,2,20673,10945,us
15,30,2,3405,,us
16,35,2,15809,,tw
17,51,2,486,,tw
18,37,1,43779,43779,tw
19,35,1,160197,80261,us
20,28,1,26754,26754,us
21,34,2,26754,26754,us
22,23,1,36482,18241,tw
23,33,1,97286,53507,tw
24,46,2,97286,43779,tw
25,61,1,65668,43779,us
26,81,2,,,us
27,69,2,26754,,us
28,36,2,26754,26754,tw
29,23,2,5351,1946,tw
30,28,2,20673,10945,tw
31,52,2,65668,65668,us
32,57,1,43779,31618,us
33,42,2,53507,53507,us
34,63,1,80261,80261,tw
35,55,1,20673,4378,tw
36,77,1,13377,486,tw
37,26,2,23105,7296,us
38,51,2,65668,65668,us
39,43,1,,,us
40,56,1,43779,43779,tw
41,76,2,53507,,tw
42,27,2,10945,10945,tw
43,60,2,36482,31618,us
44,31,2,36482,36482,us
45,50,2,65668,7296,us
46,21,1,43779,36482,tw
47,20,1,36482,486,tw
48,71,1,43779,,tw
49,48,2,53507,43779,us
50,21,2,80261,,us
51,66,2,43779,,us
52,69,1,65668,,tw
53,53,1,18241,18241,tw
54,25,2,36482,36482,tw
55,48,1,26754,26754,us
56,45,1,65668,36482,us
57,75,2,10945,,us
58,40,2,31618,31618,tw
59,69,2,,1946,tw
60,31,2,31618,31618,tw
61,49,1,97286,65668,us
62,27,2,36482,5351,us
63,64,2,,53507,us
64,48,2,53507,18241,tw
65,62,1,13377,13377,tw
66,76,1,15809,,tw
67,49,2,,,us
68,71,2,,,us
69,78,1,6324,,us
70,84,2,10945,,tw
71,74,2,8756,,tw
72,89,2,5351,,tw
73,85,2,,,us
74,29,1,31618,18241,us
75,49,2,160197,235707,us
76,77,1,43779,,tw
77,38,1,65668,65668,tw
78,28,1,80261,80261,tw
79,46,2,97286,36482,us
80,44,1,53507,53507,us
81,44,1,43779,43779,us
82,38,2,80261,31618,tw
83,48,2,65668,7296,tw
84,38,1,31618,31618,tw
85,78,2,26754,,us
86,76,2,13377,,us
87,70,2,13377,,us
88,74,1,3405,,tw
89,83,2,15809,,tw
90,89,2,8756,,tw
91,77,1,10945,,us
92,32,2,65668,,us
93,23,2,20673,20673,us
94,33,1,65668,65668,tw
95,58,2,65668,3405,tw
96,53,2,65668,65668,tw
97,50,1,160197,235707,us
98,20,2,6324,1946,us
99,54,2,36482,,us
100,44,2,31618,31618,tw
